District code,Male,Female,Literate,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,State,District,Latitude,Longitude
4,77785,63017,86236,214,15824,235,40370,7774,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312
5,251899,224936,261724,629,62900,346,132139,15269,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322
7,326109,290326,389204,936,109422,1443,181374,33473,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404
10,651124,585705,748584,3099,165403,16413,4518,257721,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288
12,293064,267376,293958,1068,73629,1537,147520,21703,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118
16,213641,196295,219083,1103,61831,596,122267,11350,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518
19,296784,258201,322354,1278,73999,1214,148664,34696,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511
21,813821,716137,1137135,3525,294739,19905,254566,248043,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991
23,261320,257760,323842,950,96082,1615,186395,13836,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366
24,750591,759484,1152640,2878,330081,8053,588321,39007,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173
26,225452,212451,307672,854,91322,2623,167995,20709,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647
27,498065,501712,723747,1842,214491,5333,431129,31696,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067
28,217070,237698,358091,878,104120,2521,196116,15232,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594
28,217070,237698,358091,878,104120,2521,196116,15232,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789
168,593537,510748,653299,1291,55929,1196,256081,55300,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594
168,593537,510748,653299,1291,55929,1196,256081,55300,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789
29,263692,257481,399715,987,105929,2412,185091,20126,Himachal Pradesh,Una,31.58330388349513,76.18353932038836
30,192764,189192,287620,3666,79146,1574,152458,11987,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188
30,192764,189192,287620,3666,79146,1574,152458,11987,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157
406,1351574,1312055,1596560,2981,519704,8566,549632,188174,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188
406,1351574,1312055,1596560,2981,519704,8566,549632,188174,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157
31,308754,271566,428578,1253,119866,5250,192787,51509,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783
32,276289,253566,362645,930,91509,2220,171102,21054,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493
33,425039,388971,612642,1668,172754,9177,279269,95896,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668
34,46249,37872,60699,181,17865,354,44514,0,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741
35,1212617,1085706,1634719,5982,411216,14428,420860,185488,Punjab,Gurdaspur,32.04283371212125,75.3204064393939
36,426311,388857,576567,2472,161206,9732,165433,95770,Punjab,Kapurthala,31.336592638036837,75.47641165644177
37,1145211,1048379,1622537,6883,446200,39082,330339,377791,Punjab,Jalandhar,31.250336907216507,75.54400350515463
38,809057,777568,1199699,4305,319930,13747,422673,128592,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349
40,320795,279368,426033,1640,113683,5138,117559,57337,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842
41,1867816,1630923,2560225,10593,703624,58589,395032,641789,Punjab,Ludhiana,30.76596397379912,75.83110851528383
42,525920,469826,627889,2774,183396,7897,214295,74144,Punjab,Moga,30.756540067340065,75.1600845117845
43,1071637,957437,1227511,4283,349662,10042,348522,153868,Punjab,Firozpur,30.63407535211269,74.40245732394365
44,475622,426274,524848,2025,166585,4571,149507,74650,Punjab,Muktsar,30.31243303303303,74.5518747747748
45,326671,290837,381285,1540,113549,4348,99946,58917,Punjab,Faridkot,30.591187250996025,74.79751553784862
46,743197,645328,844868,3365,255650,11284,218159,137563,Punjab,Bathinda,30.190524611973352,75.05685898004438
47,408732,361019,423560,1694,140099,2673,145603,50786,Punjab,Mansa,29.919547714285724,75.4304922857143
48,1002522,893164,1266791,5679,352929,24274,299279,218090,Punjab,Patiala,30.214540380693364,76.27505893949697
49,1318408,1172248,1684770,6979,461231,29961,275477,385476,Punjab,Amritsar,31.548679820627772,74.79883856502238
51,357485,327142,502731,2034,129123,6600,148162,60537,Punjab,Rupnagar,30.910937330754347,76.53743500967126
53,878029,777140,1002077,3943,305557,10736,292156,156788,Punjab,Sangrur,30.185045204336895,75.89437014178496
55,580663,474787,805438,34145,231204,44283,8911,289456,Chandigarh,Chandigarh,30.7426,76.75872465753424
56,168597,161489,215126,356,52621,602,112148,9061,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617
57,193991,197614,280556,467,71524,899,163434,22906,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402
59,297986,320945,407994,743,117239,1366,227059,27177,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917
62,239306,244133,345550,631,95421,1344,183687,26256,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236
63,124326,135572,179483,281,47083,435,96031,3880,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357
64,291081,331425,436497,742,109876,1830,260056,21082,Uttaranchal,Almora,29.683532133676103,79.50165064267351
